,,,210M0_,211M0_,212M0_,213M0_,,103C0_,104C0_,105C0_,107C0_,,210M1_,211M1_,212M1_,213M1_,,103C1_,104C1_,105C1_,107C1_
,,,11,20,-9,,,,21,19,2,,,-11,,,,,,,
,,,10,19,-9,,,,20,20,0,,,-9,,,,,,,
,,,15,19,-4,,,,25,25,0,,,-4,,,,,,,
,,,12,17,-5,,,,22,21,1,,,-6,,,,,,,
,,,15,17,-2,,,,24,22,2,,,-4,,,,,,,
,,,11,20,-9,,,,19,28,-9,,,0,,,,,,,
,,,14,20,-6,,,,22,20,2,,,-8,,,,,,,
,,,13,20,-7,,,,28,27,1,,,-8,,,,,,,
,,,9,17,-8,,,,19,17,2,,,-10,,,,,,,
,,,11,15,-4,,,,16,19,-3,,,-1,,,,,,,
,,,27,14,13,,,,28,26,2,,,11,,,,,,,
,,,37,28,9,,,,23,29,-6,,,15,,,,,,,
,,,34,18,16,,,,30,28,2,,,14,,,,,,,
,,,27,14,13,,,,26,25,1,,,12,,,,,,,
,,,35,16,19,,,,27,26,1,,,18,,,,,,,
,,,36,21,15,,,,29,27,2,,,13,,,,,,,
,,,37,19,18,,,,29,21,8,,,10,,,,,,,
,,,36,12,24,,,,30,31,-1,,,25,,,,,,,
,,,26,16,10,,,,32,29,3,,,7,,,,,,,
,,,29,15,14,,,,31,31,0,,,14,,,,,,,
,,,32,29,3,,,,22,23,-1,,,4,,,,,,,
,,,30,29,1,,,,21,18,3,,,-2,,,,,,,
,,,31,25,6,,,,18,17,1,,,5,,,,,,,
,,,34,27,7,,,,23,20,3,,,4,,,,,,,
,,,31,30,1,,,,23,23,0,,,1,,,,,,,
,,,28,18,10,,,,22,22,0,,,10,,,,,,,
,,,30,27,3,,,,25,23,2,,,1,,,,,,,
,,,37,29,8,,,,29,24,5,,,3,,,,,,,
,,,33,28,5,,,,22,19,3,,,2,,,,bv ,,,
,,,30,24,6,,,,24,17,7,,,-1,,,,,,,
